window_time,drift_distance,threshold,drift_detected,accuracy,auc
2015-01-11 08:09:48.506820096,0.0,0.0497624238078261,0,0.9796737095480075,0.9969616018840931
2015-02-05 05:45:21.200667648,0.01181827299296856,0.0497624238078261,0,0.9763684913217624,0.9959675100641963
2015-02-28 16:39:17.016885504,0.01869976706802845,0.0497624238078261,0,0.9741356204770839,0.9953381991203017
2015-03-24 08:51:32.283909632,0.020884178578853607,0.0497624238078261,0,0.9736702127659574,0.9961226287714113
2015-04-19 23:55:22.089075712,0.022369474172592163,0.0497624238078261,0,0.9736912393162394,0.9955812011517213
2015-05-16 05:23:02.882852864,0.01735786162316799,0.0497624238078261,0,0.9773523860878943,0.9957867996253544
2015-06-11 17:01:20.739780864,0.015576024539768696,0.0497624238078261,0,0.9762222815923056,0.9959417377151827
2015-07-07 02:48:50.688933888,0.017915356904268265,0.0497624238078261,0,0.9738191632928475,0.9954870326968972
2015-07-30 15:34:58.859391744,0.021538419649004936,0.0497624238078261,0,0.9739861259338314,0.9957072549058265
2015-08-21 15:05:12.752964864,0.02353982999920845,0.0497624238078261,0,0.9750673854447439,0.9949030720471832
2015-09-12 21:37:22.907615744,0.01393552403897047,0.0497624238078261,0,0.9749262536873157,0.9963516089659592
2015-10-05 21:53:33.587716864,0.02897902950644493,0.0497624238078261,0,0.9764597580220936,0.9973826202731082
2015-10-26 04:25:22.448119552,0.013163981027901173,0.0497624238078261,0,0.9741264337156575,0.9958809668032449
2015-11-13 17:02:05.369004800,0.008601268753409386,0.0497624238078261,0,0.9779559118236473,0.9964352019288728
2015-12-02 07:12:01.405064960,0.013920875266194344,0.0497624238078261,0,0.9772209567198178,0.9963072618553985
2015-12-22 18:55:59.606276864,0.017581215128302574,0.0497624238078261,0,0.9719827586206896,0.9961404761203844
2016-01-10 08:06:09.746892288,0.012450938113033772,0.0497624238078261,0,0.976857974080931,0.9962525502284116
2016-01-21 04:39:16.918586112,0.010689960792660713,0.0497624238078261,0,0.9757632565613283,0.9952546508081732
2016-02-02 02:58:14.565866496,0.013139793649315834,0.0497624238078261,0,0.9754666666666667,0.9960457145428933
2016-02-14 18:06:33.121078016,0.011101571843028069,0.0497624238078261,0,0.9737194958433897,0.9948287430966681
2016-02-26 21:17:57.877155840,0.012060241773724556,0.0497624238078261,0,0.9753250198991775,0.9963222517907375
2016-03-09 07:50:47.186913280,0.019949615001678467,0.0497624238078261,0,0.976401179941003,0.9953988172228588
2016-03-21 19:27:45.574640896,0.01903613656759262,0.0497624238078261,0,0.9753858435337945,0.9965599791950143
2016-04-04 14:40:47.423562496,0.025259407237172127,0.0497624238078261,0,0.9736700698549167,0.9957814544317942
2016-04-19 00:35:56.588087808,0.027255062013864517,0.0497624238078261,0,0.973851030110935,0.9960269945660687
2016-04-29 09:06:52.916020480,0.02618514746427536,0.0497624238078261,0,0.9729874297940626,0.995543238833571
2016-05-10 06:38:48.651970048,0.02261454612016678,0.0497624238078261,0,0.971321361565264,0.9951286994379297
2016-05-21 10:47:31.657382656,0.018947672098875046,0.0497624238078261,0,0.9749466950959488,0.995720796018251
2016-06-01 08:05:10.293080576,0.025853948667645454,0.0497624238078261,0,0.9736842105263158,0.9959545452568356
2016-06-11 14:38:48.016489472,0.03039928339421749,0.0497624238078261,0,0.9743351063829787,0.995755353916796
2016-06-22 00:57:55.235603712,0.02875456213951111,0.0497624238078261,0,0.9755456218774652,0.9962845567409567
2016-07-02 07:25:22.794145280,0.0292033851146698,0.0497624238078261,0,0.9719288865124983,0.9957495714651543
2016-07-13 09:27:46.314788096,0.030449898913502693,0.0497624238078261,0,0.970529932602088,0.9947010928882227
2016-07-22 03:46:52.547762176,0.033436086028814316,0.0497624238078261,0,0.970875083500334,0.9941443926798819
2016-07-31 10:31:14.596140800,0.0382637158036232,0.0497624238078261,0,0.9711244178310047,0.9956577502628198
2016-08-09 22:13:06.052518912,0.03279602527618408,0.0497624238078261,0,0.9718027529065882,0.995561588683973
