metric,init_memory_mb,baseline_memory_mb,final_memory_mb,peak_memory_mb,metric_type,memory_increase
euclidean,0.0211410522460937,0.6182479858398438,1.673543930053711,18.207624435424805,Vector-based,1.6524028778076172
mmd,0.0332183837890625,0.1563005447387695,0.5636329650878906,17.110477447509766,Distribution-based,0.5304145812988281
kl,0.0332183837890625,0.2757062911987304,0.5525941848754883,17.095123291015625,Distribution-based,0.5193758010864258
wasserstein,0.0332183837890625,0.2163238525390625,0.4772071838378906,17.02843189239502,Distribution-based,0.4439888000488281
js,0.0332183837890625,0.0995769500732421,0.4797229766845703,17.022913932800293,Distribution-based,0.4465045928955078
hellinger,0.0332183837890625,0.0686750411987304,0.420440673828125,16.971071243286133,Distribution-based,0.3872222900390625
manhattan,0.0110435485839843,0.1598834991455078,0.2137784957885742,16.966147422790527,Vector-based,0.2027349472045899
bhattacharyya,0.0332183837890625,0.0692262649536132,0.3148183822631836,16.882792472839355,Distribution-based,0.2815999984741211
cosine,0.0110435485839843,0.0540809631347656,0.2126445770263672,16.86716651916504,Vector-based,0.2016010284423829
chebyshev,0.0110435485839843,0.0382804870605468,0.1849222183227539,16.85530376434326,Vector-based,0.17387866973876961
canberra,0.0110435485839843,0.0378379821777343,0.0697689056396484,16.854032516479492,Vector-based,0.0587253570556641
mahalanobis,0.0110435485839843,0.0385141372680664,0.0728130340576171,16.85399627685547,Vector-based,0.061769485473632806
minkowski,0.0110435485839843,0.0331411361694335,0.1802120208740234,16.85016632080078,Vector-based,0.16916847229003912
