Measure,Base Mean (Drift 0.0),Final Mean (Drift 1.0),Std Dev (Avg),Relative Increase (%),Relative STD Increase (%),Normalized Base Mean (Drift 0.0),Normalized Final Mean (Drift 1.0),Normalized Std Dev (Avg),Normalized Relative Increase (%),Normalized Relative STD Increase (%)
mmd,0.1502,0.3544,0.0,135.89,,0.0,0.0,,1.0,
wasserstein,1.8525,2.9765,0.0,60.67,,0.1045420489578344,0.14895756405158211,,0.427680133911588,
bhattacharyya,1.6041,1.772,0.0,10.47,,0.08928724959160865,0.08053172754644095,,0.045727763828654046,
kl,16.4336,17.9574,0.0,9.27,,1.0,1.0,,0.03659742828882295,
js,0.51,0.5408,0.0,6.04,,0.022096122431433243,0.010589104129977841,,0.012021608460777603,
hellinger,0.8457,0.8834,0.0,4.46,,0.042712209980716564,0.03005169573368175,,0.0,
