Dataset,Model,Measure,Drift Strength,Mean,Std
yelp_review_full,bert-base-uncased,wasserstein,1.0,2.5059930108408133,0.2174100186610459
wikitext,nlpaueb/sec-bert-base,kl,0.0,0.9416518086892071,0.06713581611604338
wikitext,nlpaueb/sec-bert-base,kl,0.25,1.0115787850145208,0.21677145721062724
wikitext,nlpaueb/sec-bert-base,kl,0.5,1.6982370574568357,0.253070417397893
wikitext,nlpaueb/sec-bert-base,kl,0.75,2.2042205423016292,0.18313111218246433
wikitext,nlpaueb/sec-bert-base,kl,1.0,3.2730405989352573,0.45783633351975916
wikitext,nlpaueb/sec-bert-base,js,0.0,0.047502347073363795,0.0030751834684653355
wikitext,nlpaueb/sec-bert-base,js,0.25,0.06106408926069904,0.004761644765551967
wikitext,nlpaueb/sec-bert-base,js,0.5,0.10452700347999594,0.004735397280002582
wikitext,nlpaueb/sec-bert-base,js,0.75,0.14080000344605528,0.005603587582282558
wikitext,nlpaueb/sec-bert-base,js,1.0,0.16413624341067423,0.004297226395781678
wikitext,nlpaueb/sec-bert-base,hellinger,0.0,0.24708726945727197,0.007567875285214838
wikitext,nlpaueb/sec-bert-base,hellinger,0.25,0.2748502951955331,0.006503419930487294
wikitext,nlpaueb/sec-bert-base,hellinger,0.5,0.35390713514415245,0.009518411508012987
wikitext,nlpaueb/sec-bert-base,hellinger,0.75,0.41881590445717315,0.007178780766502988
wikitext,nlpaueb/sec-bert-base,hellinger,1.0,0.4450328193332766,0.01100751919991171
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.06306440955777785,0.004028131356354095
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.07991148770873269,0.006915557539603524
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.1337623447909558,0.009538456906619093
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.19214182526033197,0.01309019313343131
wikitext,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.23485599248504255,0.015127850728753804
wikitext,nlpaueb/sec-bert-base,mmd,0.0,0.017004653811454773,0.0028338166885077953
wikitext,nlpaueb/sec-bert-base,mmd,0.25,0.0727422833442688,0.0006779692484997213
wikitext,nlpaueb/sec-bert-base,mmd,0.5,0.12698866426944733,0.001666711992584169
wikitext,nlpaueb/sec-bert-base,mmd,0.75,0.15485887229442596,0.0020679463632404804
wikitext,nlpaueb/sec-bert-base,mmd,1.0,0.1636795550584793,0.00156276929192245
wikitext,nlpaueb/sec-bert-base,wasserstein,0.0,0.1870740006407102,0.05878154142240595
wikitext,nlpaueb/sec-bert-base,wasserstein,0.25,0.3418687303185463,0.04542992861397399
wikitext,nlpaueb/sec-bert-base,wasserstein,0.5,0.557732146068414,0.04228157648388736
wikitext,nlpaueb/sec-bert-base,wasserstein,0.75,0.7154593080163002,0.036209200004532885
wikitext,nlpaueb/sec-bert-base,wasserstein,1.0,0.7835247136751811,0.0319631454279131
wikitext,bert-base-uncased,kl,0.0,0.28226009040678246,0.029202759045713286
wikitext,bert-base-uncased,kl,0.25,5.7825814540156415,0.1199057375240892
wikitext,bert-base-uncased,kl,0.5,8.321193245818467,0.3843577904329679
wikitext,bert-base-uncased,kl,0.75,9.039528531883223,0.11025767381672574
wikitext,bert-base-uncased,kl,1.0,8.885662154740535,0.12813975369070746
wikitext,bert-base-uncased,js,0.0,0.01768866651915123,0.000848593673958367
wikitext,bert-base-uncased,js,0.25,0.19182552022505325,0.0029589304459836574
wikitext,bert-base-uncased,js,0.5,0.23237914500245624,0.0009063991868239883
wikitext,bert-base-uncased,js,0.75,0.24128507316950384,0.0013781118790519595
wikitext,bert-base-uncased,js,1.0,0.24376871173273718,0.0016907051086985404
wikitext,bert-base-uncased,hellinger,0.0,0.14564302441327034,0.0014988551818234596
wikitext,bert-base-uncased,hellinger,0.25,0.49566426307332073,0.0033771840927173677
wikitext,bert-base-uncased,hellinger,0.5,0.5540564715961321,0.00044773729020965847
wikitext,bert-base-uncased,hellinger,0.75,0.5610095843865491,0.0015723998476263252
wikitext,bert-base-uncased,hellinger,1.0,0.5651956750130785,0.0024075399399601195
wikitext,bert-base-uncased,bhattacharyya,0.0,0.021442490295730424,0.0004477462809782401
wikitext,bert-base-uncased,bhattacharyya,0.25,0.2769070824170048,0.006851816847425078
wikitext,bert-base-uncased,bhattacharyya,0.5,0.3608465505121558,0.0016503183983350752
wikitext,bert-base-uncased,bhattacharyya,0.75,0.38017530570876806,0.0006841610165929025
wikitext,bert-base-uncased,bhattacharyya,1.0,0.3842305411599507,0.0022771509862037132
wikitext,bert-base-uncased,mmd,0.0,0.018129320815205574,0.004824239294975996
wikitext,bert-base-uncased,mmd,0.25,0.12433408945798874,0.003768668742850423
wikitext,bert-base-uncased,mmd,0.5,0.16022810339927673,0.003995177801698446
wikitext,bert-base-uncased,mmd,0.75,0.17177017033100128,0.0038268491625785828
wikitext,bert-base-uncased,mmd,1.0,0.17533361911773682,0.004187482409179211
wikitext,bert-base-uncased,wasserstein,0.0,0.3423535393873853,0.17107509520063058
wikitext,bert-base-uncased,wasserstein,0.25,1.6592339589834217,0.11779624175606902
wikitext,bert-base-uncased,wasserstein,0.5,1.9665692042112353,0.09890241922655964
wikitext,bert-base-uncased,wasserstein,0.75,2.091072394529979,0.0920627805586628
wikitext,bert-base-uncased,wasserstein,1.0,2.152110422054927,0.09309948218624406
ag_news,nlpaueb/sec-bert-base,kl,0.0,0.8324733001166686,0.11383101341553542
ag_news,nlpaueb/sec-bert-base,kl,0.25,1.3123656591581883,0.057934415381204064
ag_news,nlpaueb/sec-bert-base,kl,0.5,2.8669588965960684,0.17786541877595816
