window_time,drift_distance,threshold,drift_detected,accuracy,auc,method
2015-01-11 08:09:48.506820096,0.0,0.018653213791889,0,0.9820807702594276,0.9973916716569126,bhattacharyya_histogram
2015-02-05 05:45:21.200667648,0.0029528605658784,0.018653213791889,0,0.9755674232309748,0.9963946645121632,bhattacharyya_histogram
2015-02-28 16:39:17.016885504,0.0096177024646981,0.018653213791889,0,0.9777539533637096,0.9957381803589668,bhattacharyya_histogram
2015-03-24 08:51:32.283909632,0.0131729795744289,0.018653213791889,0,0.9722074468085108,0.99592193589534,bhattacharyya_histogram
2015-04-19 23:55:22.089075712,0.0132993820699445,0.018653213791889,0,0.9747596153846154,0.995621762789683,bhattacharyya_histogram
2015-05-16 05:23:02.882852864,0.0342752051673451,0.018653213791889,0,0.9747910488002156,0.9951544258628652,bhattacharyya_histogram
2015-06-11 17:01:20.739780864,0.0216119763070709,0.018653213791889,0,0.9754207854662036,0.9959718922349832,bhattacharyya_histogram
2015-07-07 02:48:50.688933888,0.0146031384560054,0.018653213791889,0,0.9734143049932524,0.9954411281334216,bhattacharyya_histogram
2015-07-30 15:34:58.859391744,0.0119783596770558,0.018653213791889,0,0.9753201707577376,0.995919278433188,bhattacharyya_histogram
2015-08-21 15:05:12.752964864,0.0151247221179802,0.018653213791889,0,0.9747978436657682,0.9951549073703082,bhattacharyya_histogram
2015-09-12 21:37:22.907615744,0.0137176845989831,0.018653213791889,0,0.9737194958433896,0.9967122383874012,bhattacharyya_histogram
2015-10-05 21:53:33.587716864,0.0169908728140567,0.018653213791889,0,0.9758022093634928,0.9972455237358976,bhattacharyya_histogram
2015-10-26 04:25:22.448119552,0.0148497110671992,0.018653213791889,0,0.9733262203254202,0.9956075193809828,bhattacharyya_histogram
2015-11-13 17:02:05.369004800,0.012932437429505,0.018653213791889,0,0.9748830995323982,0.996506195164423,bhattacharyya_histogram
2015-12-02 07:12:01.405064960,0.013310731499588,0.018653213791889,0,0.9764169904863996,0.9966623651246994,bhattacharyya_histogram
2015-12-22 18:55:59.606276864,0.0125647814421759,0.018653213791889,0,0.9703663793103448,0.9960126635069232,bhattacharyya_histogram
2016-01-10 08:06:09.746892288,0.0113249535766446,0.018653213791889,0,0.9744776514149696,0.9959212977336231,bhattacharyya_histogram
2016-01-21 04:39:16.918586112,0.0106813855077203,0.018653213791889,0,0.9752276379217996,0.99565376818614,bhattacharyya_histogram
2016-02-02 02:58:14.565866496,0.0089418343150203,0.018653213791889,0,0.9752,0.9957445729855394,bhattacharyya_histogram
2016-02-14 18:06:33.121078016,0.0087945276580424,0.018653213791889,0,0.976401179941003,0.995136070591376,bhattacharyya_histogram
2016-02-26 21:17:57.877155840,0.008024414241424,0.018653213791889,0,0.9751923587158398,0.9963266425151,bhattacharyya_histogram
2016-03-09 07:50:47.186913280,0.0074759136566151,0.018653213791889,0,0.9746580852775544,0.9954687573729653,bhattacharyya_histogram
2016-03-21 19:27:45.574640896,0.010148599140003,0.018653213791889,0,0.9757849920170304,0.9966273167605524,bhattacharyya_histogram
