window_time,drift_distance,threshold,drift_detected
2015-01-11 08:09:48.506820096,0.0,-0.0016234640444158983,0
2015-02-05 05:45:21.200667648,-0.0015399402878703676,-0.0016234640444158983,0
2015-02-28 16:39:17.016885504,-0.0015705045188662687,-0.0016234640444158983,0
2015-03-24 08:51:32.283909632,-0.0016162238973540719,-0.0016234640444158983,0
2015-04-19 23:55:22.089075712,-0.0016263724021175648,-0.0016234640444158983,0
2015-05-16 05:23:02.882852864,-0.0017443224479392072,-0.0016234640444158983,0
2015-06-11 17:01:20.739780864,-0.0017532670662326773,-0.0016234640444158983,0
2015-07-07 02:48:50.688933888,-0.0017442939655344253,-0.0016234640444158983,0
2015-07-30 15:34:58.859391744,-0.001731924297680597,-0.0016234640444158983,0
2015-08-21 15:05:12.752964864,-0.0017633599711820412,-0.0016234640444158983,0
2015-09-12 21:37:22.907615744,-0.0017813102869053698,-0.0016234640444158983,0
2015-10-05 21:53:33.587716864,-0.001761465399185073,-0.0016234640444158983,0
2015-10-26 04:25:22.448119552,-0.0017986182528146228,-0.0016234640444158983,0
2015-11-13 17:02:05.369004800,-0.0018058144214620337,-0.0016234640444158983,0
2015-12-02 07:12:01.405064960,-0.0018310908882248772,-0.0016234640444158983,0
2015-12-22 18:55:59.606276864,-0.001793289009926503,-0.0016234640444158983,0
2016-01-10 08:06:09.746892288,-0.0018521352876523338,-0.0016234640444158983,0
2016-01-21 04:39:16.918586112,-0.0018781552863114254,-0.0016234640444158983,0
2016-02-02 02:58:14.565866496,-0.0018129100243276543,-0.0016234640444158983,0
2016-02-14 18:06:33.121078016,-0.001862392261776629,-0.0016234640444158983,0
2016-02-26 21:17:57.877155840,-0.0018367043072430322,-0.0016234640444158983,0
2016-03-09 07:50:47.186913280,-0.0018217895655466612,-0.0016234640444158983,0
2016-03-21 19:27:45.574640896,-0.0018439666445021104,-0.0016234640444158983,0
2016-04-04 14:40:47.423562496,-0.001796966790847387,-0.0016234640444158983,0
2016-04-19 00:35:56.588087808,-0.0018199835358432201,-0.0016234640444158983,0
2016-04-29 09:06:52.916020480,-0.0018331828714466085,-0.0016234640444158983,0
2016-05-10 06:38:48.651970048,-0.0018190499709020067,-0.0016234640444158983,0
2016-05-21 10:47:31.657382656,-0.0018429789757288078,-0.0016234640444158983,0
2016-06-01 08:05:10.293080576,-0.0018291172155395763,-0.0016234640444158983,0
2016-06-11 14:38:48.016489472,-0.001825475761336649,-0.0016234640444158983,0
2016-06-22 00:57:55.235603712,-0.0018104106637813779,-0.0016234640444158983,0
2016-07-02 07:25:22.794145280,-0.0018153951454475427,-0.0016234640444158983,0
2016-07-13 09:27:46.314788096,-0.001826771581017023,-0.0016234640444158983,0
2016-07-22 03:46:52.547762176,-0.0018518408542840409,-0.0016234640444158983,0
2016-07-31 10:31:14.596140800,-0.0018225402860868184,-0.0016234640444158983,0
2016-08-09 22:13:06.052518912,-0.0018219597518788582,-0.0016234640444158983,0
2016-08-19 15:46:13.900492800,-0.0018442005716338115,-0.0016234640444158983,0
2016-08-29 05:53:12.757607936,-0.001809137584766159,-0.0016234640444158983,0
2016-09-08 09:39:44.793902336,-0.0018439749010487974,-0.0016234640444158983,0
2016-09-18 06:03:33.502058752,-0.0018349094559265238,-0.0016234640444158983,0
2016-09-27 18:24:40.967160576,-0.0018494291147640625,-0.0016234640444158983,0
2016-10-07 13:41:23.872992768,-0.001872510018651934,-0.0016234640444158983,0
2016-10-17 11:55:33.511858432,-0.0018303664949809173,-0.0016234640444158983,0
2016-10-27 01:29:41.976607488,-0.0018466428381119341,-0.0016234640444158983,0
2016-11-05 01:35:03.399676928,-0.0018440033037345285,-0.0016234640444158983,0
2016-11-14 19:01:10.739316736,-0.0018452148910644169,-0.0016234640444158983,0
2016-11-25 12:35:37.448248320,-0.0018235532919386836,-0.0016234640444158983,0
2016-12-03 15:52:34.117192704,-0.0018941743837501436,-0.0016234640444158983,0
2016-12-10 08:59:30.693692160,-0.0018914793990089732,-0.0016234640444158983,0
2016-12-17 08:49:39.525993984,-0.001864915901406022,-0.0016234640444158983,0
2016-12-24 06:30:44.857579520,-0.0018870592942830413,-0.0016234640444158983,0
2016-12-30 03:47:24.421860352,-0.0019368020131336737,-0.0016234640444158983,0
2017-01-04 22:16:38.277375232,-0.0019473976951156398,-0.0016234640444158983,0
2017-01-10 20:56:48.223647488,-0.0019363616508152476,-0.0016234640444158983,0
2017-01-17 04:59:38.757997568,-0.0019242669896917034,-0.0016234640444158983,0
2017-01-24 02:28:52.148750848,-0.0019215520906049055,-0.0016234640444158983,0
2017-01-31 17:37:25.901447424,-0.0018928386100716202,-0.0016234640444158983,0
