Method,DetectionAccuracy,AvgOverhead_s,TotalRuntime_s,AvgMem_MB,speedup_vs_full,memory_reduction
no_pca,23900205.0850129,0.00011017769575119018,0.26717265844345095,0.010186010599136352,1.0,1.0
pca,7921366.72706266,7.755756378173828e-05,0.2716841012239456,0.01412428617477417,0.9833945278351937,0.7211699390039592
kll_vector,1769137.2428567342,6.965994834899903e-05,0.26791409254074094,0.016715824604034424,0.9972325677598417,0.6093633332739039
kll_sketch,36055.01124558088,1.452479789654414,3.1880351225535075,0.42229979832967124,0.083804803953808,0.024120330247433774
histogram,35275.864027232084,1.442879992723465,3.1664038777351378,0.8340396165847779,0.08437731532673398,0.012212861831247283
pca_kll_sketch,180298.44141596966,0.021598581473032633,0.3258752584457397,0.8429664850234986,0.8198617462329896,0.012083529748934688
pca_histogram,185707.81434595224,0.02074863314628601,0.32288848956425986,0.8500412702560425,0.8274455952394035,0.011982960069771913
