metric,init_memory_mb,baseline_memory_mb,final_memory_mb,peak_memory_mb,metric_type,memory_increase
mmd_histogram,0.1064567565917968,0.4205999374389648,0.7182531356811523,52.47714519500733,Distribution-based,0.6117963790893556
mmd_kll,0.0332183837890625,0.1677408218383789,0.6362237930297852,52.20249557495117,Distribution-based,0.6030054092407227
euclidean,0.0209121704101562,0.8989419937133789,2.3596982955932617,18.848153114318848,Vector-based,2.3387861251831055
js_histogram,0.1064567565917968,0.3254556655883789,0.6213483810424805,17.159811973571777,Distribution-based,0.5148916244506837
kl_histogram,0.1064567565917968,0.324533462524414,0.6189632415771484,17.158207893371582,Distribution-based,0.5125064849853517
wasserstein_histogram,0.1064567565917968,0.3235960006713867,0.6124353408813477,17.15353488922119,Distribution-based,0.5059785842895509
hellinger_histogram,0.1064567565917968,0.308873176574707,0.6034259796142578,17.145930290222168,Distribution-based,0.496969223022461
bhattacharyya_histogram,0.1064567565917968,0.3111963272094726,0.5981235504150391,17.140581130981445,Distribution-based,0.49166679382324224
kl_kll,0.0332183837890625,0.1495618820190429,0.5937986373901367,17.12360191345215,Distribution-based,0.5605802536010742
wasserstein_kll,0.0332183837890625,0.1240758895874023,0.5552940368652344,17.095340728759766,Distribution-based,0.5220756530761719
js_kll,0.0332183837890625,0.1244459152221679,0.553675651550293,17.09180450439453,Distribution-based,0.5204572677612305
hellinger_kll,0.0332183837890625,0.1183509826660156,0.5441389083862305,17.08546543121338,Distribution-based,0.510920524597168
bhattacharyya_kll,0.0332183837890625,0.118814468383789,0.5450172424316406,17.08530616760254,Distribution-based,0.5117988586425781
canberra,0.0110435485839843,0.2123975753784179,0.301060676574707,17.0054292678833,Vector-based,0.29001712799072266
mahalanobis,0.0110435485839843,0.2154111862182617,0.3038311004638672,17.00368309020996,Vector-based,0.29278755187988287
minkowski,0.0110435485839843,0.2087059020996093,0.2989368438720703,17.000736236572266,Vector-based,0.287893295288086
manhattan,0.0110435485839843,0.0956363677978515,0.3437004089355469,16.894871711730957,Vector-based,0.33265686035156256
cosine,0.0110435485839843,0.0948724746704101,0.3278837203979492,16.894495010375977,Vector-based,0.3168401718139649
chebyshev,0.0110435485839843,0.0926475524902343,0.3037652969360351,16.889397621154785,Vector-based,0.2927217483520508
